sample,date,timestamp,barometric_pressure,humidity,temperature,wind_direction,wind_speed,solar_radiation,Label
97,9/30/2016,15:45:25,30.43,70,58,26.58,9,572.26,4
98,9/30/2016,15:40:24,30.43,74,58,353.84,5.62,595.49,4
99,9/30/2016,15:35:26,30.43,70,58,79.15,9,621.22,4
100,9/30/2016,15:30:32,30.43,71,58,21.43,7.87,628.24,4
101,9/30/2016,15:25:22,30.43,72,58,51.49,4.5,547.56,4
102,9/30/2016,15:20:21,30.43,73,58,14.71,10.12,569.47,4
103,9/30/2016,15:15:22,30.43,68,58,39.25,5.62,524.94,4
104,9/30/2016,15:10:19,30.43,66,58,355.78,11.25,514.15,4
105,9/30/2016,15:05:25,30.43,71,59,18.65,4.5,675.87,5
106,9/30/2016,15:00:21,30.43,62,59,65.8,5.62,749.37,5
107,9/30/2016,14:55:23,30.43,63,59,43.88,7.87,817,6
108,9/30/2016,14:50:20,30.43,63,59,78.63,11.25,674.59,5
109,9/30/2016,14:45:19,30.43,63,59,15.72,11.25,750.06,5
110,9/30/2016,14:40:22,30.43,63,59,359.92,5.62,801.4,5
111,9/30/2016,14:35:19,30.43,63,59,313.45,4.5,841.77,6
,9/30/2016,14:30:19,30.43,58,59,85,4.5,830,6
112,9/30/2016,14:25:19,30.43,55,60,84.3,5.62,878.9,6
113,9/30/2016,14:20:20,30.43,59,60,35.7,11.25,812.24,6
114,9/30/2016,14:15:22,30.43,56,61,36.08,10.12,906.69,6
115,9/30/2016,14:10:22,30.43,51,61,40.66,6.75,830.84,6
116,9/30/2016,14:05:20,30.43,50,61,49.91,11.25,800.4,5
117,9/30/2016,14:00:24,30.43,47,61,43.52,6.75,939.73,6
118,9/30/2016,13:55:21,30.44,48,61,45.5,3.37,958.91,6
119,9/30/2016,13:50:23,30.44,48,61,30.2,11.25,969.45,7
120,9/30/2016,13:45:24,30.44,51,60,78.66,6.75,933.3,6
121,9/30/2016,13:40:20,30.44,55,60,45.32,6.75,976.4,7
122,9/30/2016,13:35:22,30.44,47,61,31.78,13.5,996.02,7
123,9/30/2016,13:30:24,30.44,50,61,87.52,5.62,862.91,6
124,9/30/2016,13:25:21,30.44,49,61,17.92,12.37,890.3,6
125,9/30/2016,13:20:21,30.44,52,61,329.98,4.5,1004.16,7
126,9/30/2016,13:15:26,30.44,55,61,32.85,5.62,983.67,7
127,9/30/2016,13:10:23,30.45,58,61,17.28,6.75,953.01,6
128,9/30/2016,13:05:20,30.45,58,60,91.94,10.12,1009.98,7
129,9/30/2016,13:00:19,30.45,54,61,348.3,7.87,1012.23,7
130,9/30/2016,12:55:29,30.45,56,60,26.84,7.87,972.14,7
131,9/30/2016,12:50:20,30.45,54,60,76.02,12.37,1041.97,7
132,9/30/2016,12:45:23,30.45,57,60,24.32,11.25,1040.74,7
133,9/30/2016,12:40:19,30.45,56,60,57.21,9,1014.25,7
134,9/30/2016,12:35:20,30.45,57,60,42.01,15.75,1057.74,7
135,9/30/2016,12:30:26,30.46,62,60,247.26,6.75,1021.58,7
136,9/30/2016,12:25:22,30.45,61,60,100.4,11.25,1047.09,7
137,9/30/2016,12:20:18,30.46,61,61,15.96,7.87,1043.59,7
138,9/30/2016,12:15:24,30.46,61,60,25.82,10.12,1046.08,7
139,9/30/2016,12:10:20,30.46,65,60,12.6,10.12,1038.94,7
140,9/30/2016,12:05:18,30.46,60,60,10.51,4.5,1046.76,7
141,9/30/2016,12:00:21,30.46,62,60,29.54,14.62,1051.03,7
142,9/30/2016,11:55:20,30.47,61,60,37.95,7.87,1044.4,7
143,9/30/2016,11:50:27,30.47,57,60,64.16,7.87,1037.94,7
144,9/30/2016,11:45:22,30.47,58,60,66.44,11.25,1036.31,7
145,9/30/2016,11:40:20,30.47,52,61,66.69,7.87,1030.88,7
146,9/30/2016,11:35:20,30.47,51,61,12.81,14.62,1029.94,7
,9/30/2016,11:30:20,30.47,52,61,19.17,11.245,1025.75,7
147,9/30/2016,11:25:19,30.47,54,61,25.53,7.87,1021.56,7
148,9/30/2016,11:20:22,30.47,54,61,43.4,7.87,1017.38,7
149,9/30/2016,11:15:18,30.47,44,61,3.23,10.12,1012.12,7
150,9/30/2016,11:10:21,30.47,49,61,29.36,13.5,1002.96,7
151,9/30/2016,11:05:23,30.48,48,61,22.92,11.25,996.71,7
152,9/30/2016,11:00:22,30.48,51,62,45.72,11.25,986.72,7
153,9/30/2016,10:55:24,30.48,42,62,28.73,14.62,980.18,7
154,9/30/2016,10:50:24,30.48,35,63,1.46,11.25,975.8,7
155,9/30/2016,10:45:19,30.47,36,62,74.86,6.75,966.16,7
156,9/30/2016,10:40:22,30.48,33,63,87.58,9,955.75,6
157,9/30/2016,10:35:29,30.48,32,62,17.31,7.87,944.66,6
158,9/30/2016,10:30:23,30.48,33,63,67.61,7.87,931.73,6
159,9/30/2016,10:25:24,30.48,32,62,307,1.12,925.77,6
160,9/30/2016,10:20:19,30.48,40,62,45.9,5.62,911.52,6
161,9/30/2016,10:15:20,30.48,38,62,74.73,9,904.3,6
162,9/30/2016,10:10:19,30.48,35,62,28.22,9,890.63,6
163,9/30/2016,10:05:25,30.48,41,61,77.79,5.62,879.43,6
164,9/30/2016,10:00:23,30.48,49,61,0.13,6.75,859.37,6
165,9/30/2016,9:55:21,30.48,55,60,61.89,3.37,852.51,6
166,9/30/2016,9:50:28,30.48,63,61,26.07,11.25,829.24,6
167,9/30/2016,9:45:26,30.48,51,62,61.46,13.5,820.27,6
168,9/30/2016,9:40:23,30.48,35,62,336.47,5.62,809.17,6
169,9/30/2016,9:35:22,30.47,42,61,349.82,6.75,796.19,5
170,9/30/2016,9:30:21,30.48,45,61,27.13,4.5,778.76,5
171,9/30/2016,9:25:43,30.47,48,60,43.66,6.75,768.55,5
172,9/30/2016,9:20:22,30.47,54,60,20.62,4.5,666.99,5
173,9/30/2016,9:15:24,30.47,57,59,15.65,3.37,736.65,5
174,9/30/2016,9:10:24,30.47,57,59,0.16,3.37,719.47,5
175,9/30/2016,9:05:24,30.47,60,58,12.94,4.5,699.87,5
176,9/30/2016,9:00:22,30.47,67,58,54.21,5.62,682.68,5
177,9/30/2016,8:55:23,30.47,68,58,21.78,4.5,657.82,5
178,9/30/2016,8:50:25,30.47,66,59,46.88,7.87,644.33,5
179,9/30/2016,8:45:22,30.47,60,58,121.72,2.25,623.85,4
180,9/30/2016,8:40:21,30.47,65,57,114.8,5.62,600.25,4
181,9/30/2016,8:35:24,30.47,68,57,71.41,3.37,585.4,4
182,9/30/2016,8:30:21,30.47,71,56,82.54,9,565.62,4
183,9/30/2016,8:25:21,30.47,73,56,95.92,5.62,512.76,4
184,9/30/2016,8:20:22,30.47,66,56,81.73,1.12,525.48,4
185,9/30/2016,8:15:22,30.47,65,55,51.2,5.62,502.19,4
186,9/30/2016,8:10:23,30.47,68,55,79.05,2.25,461.66,3
187,9/30/2016,8:05:20,30.46,59,54,113.48,1.12,461.63,3
188,9/30/2016,8:00:21,30.46,64,54,102.02,4.5,439.99,3
189,9/30/2016,7:55:40,30.46,64,53,123.39,9,391.13,3
190,9/30/2016,7:50:20,30.46,75,53,112.39,5.62,391.64,3
191,9/30/2016,7:45:20,30.46,57,53,141.08,4.5,373.28,3
192,9/30/2016,7:40:22,30.46,50,53,120.42,5.62,357.71,3
193,9/30/2016,7:35:20,30.46,51,52,97.13,2.25,339.3,3
194,9/30/2016,7:30:23,30.46,39,51,161.37,4.5,313.53,2
195,9/30/2016,7:25:24,30.46,42,50,117.74,3.37,272.45,2
196,9/30/2016,7:20:22,30.46,43,49,125.16,5.62,263.02,2
197,9/30/2016,7:15:25,30.46,41,48,89.99,2.25,212.79,2
198,9/30/2016,7:10:23,30.46,42,48,120.7,4.5,96.06,1
199,9/30/2016,7:05:26,30.46,38,47,97.51,5.62,32.01,1
200,9/30/2016,7:00:24,30.45,36,46,166.14,1.12,28.89,1
201,9/30/2016,6:55:23,30.45,36,46,177.23,4.5,27.11,1
202,9/30/2016,6:50:20,30.45,35,46,163.01,4.5,26.42,1
203,9/30/2016,6:45:21,30.45,36,45,142.77,3.37,24.9,1
204,9/30/2016,6:40:23,30.45,36,45,160.36,6.75,22.56,1
205,9/30/2016,6:35:22,30.45,35,45,172.18,4.5,19.61,1
206,9/30/2016,6:30:21,30.45,34,45,176.46,5.62,16.44,1
207,9/30/2016,6:25:22,30.45,34,45,158.21,7.87,13.08,1
208,9/30/2016,6:20:23,30.45,34,45,203.65,7.87,9.7,1
209,9/30/2016,6:15:24,30.44,34,45,157.04,6.75,6.12,1
210,9/30/2016,6:10:20,30.44,34,45,176.79,5.62,4.63,1
211,9/30/2016,6:05:22,30.44,35,45,177.44,6.75,2.97,1
212,9/30/2016,6:00:21,30.44,34,45,156.33,5.62,1.24,1
213,9/30/2016,5:55:24,30.44,35,45,172.55,6.75,1.19,1
214,9/30/2016,5:50:20,30.43,35,45,173.57,5.62,1.19,1
215,9/30/2016,5:45:23,30.43,36,45,170.35,5.62,1.2,1
216,9/30/2016,5:40:27,30.43,36,45,178.84,5.62,1.19,1
217,9/30/2016,5:35:19,30.43,36,45,170.13,5.62,1.2,1
218,9/30/2016,5:30:23,30.43,36,45,181.38,6.75,1.22,1
219,9/30/2016,5:25:24,30.43,35,45,165.23,6.75,1.2,1
220,9/30/2016,5:20:23,30.43,36,45,183.85,5.62,1.22,1
221,9/30/2016,5:15:20,30.43,35,45,149.04,5.62,1.22,1
222,9/30/2016,5:10:18,30.43,35,45,163.8,5.62,1.16,1
223,9/30/2016,5:05:19,30.43,35,45,155.12,6.75,1.19,1
224,9/30/2016,5:00:23,30.43,35,45,165.66,5.62,1.23,1
225,9/30/2016,4:55:21,30.43,35,45,196.05,6.75,1.19,1
226,9/30/2016,4:50:20,30.42,36,45,163.13,6.75,1.22,1
227,9/30/2016,4:45:20,30.43,36,45,169.62,6.75,1.21,1
228,9/30/2016,4:40:18,30.42,35,45,172.94,7.87,1.2,1
229,9/30/2016,4:35:23,30.42,35,45,151.3,7.87,1.23,1
230,9/30/2016,4:30:19,30.43,35,46,158.94,6.75,1.2,1
,9/30/2016,4:25:22,30.43,34,46,157.96,6.75,1.2,1
231,9/30/2016,4:20:22,30.42,33,46,156.98,6.75,1.18,1
232,9/30/2016,4:15:22,30.42,33,46,156.64,5.62,1.2,1
233,9/30/2016,4:10:24,30.42,32,46,154.49,6.75,1.23,1
234,9/30/2016,4:05:19,30.42,33,46,179.34,5.62,1.2,1
235,9/30/2016,4:00:22,30.42,33,46,176.76,4.5,1.21,1
236,9/30/2016,3:55:23,30.42,34,46,171.9,5.62,1.21,1
237,9/30/2016,3:50:21,30.42,34,46,162.17,7.87,1.2,1
238,9/30/2016,3:45:19,30.42,34,46,163.11,5.62,1.19,1
239,9/30/2016,3:40:18,30.42,34,46,170.95,5.62,1.2,1
240,9/30/2016,3:35:24,30.42,33,46,163.76,5.62,1.22,1
241,9/30/2016,3:30:22,30.42,34,47,165.12,4.5,1.22,1
242,9/30/2016,3:25:19,30.42,33,47,164.59,5.62,1.19,1
243,9/30/2016,3:20:26,30.42,32,46,119.02,3.37,1.2,1
244,9/30/2016,3:15:19,30.42,33,46,167.67,4.5,1.21,1
245,9/30/2016,3:10:20,30.42,34,46,159.39,3.37,1.22,1
246,9/30/2016,3:05:21,30.42,34,46,155.24,4.5,1.23,1
247,9/30/2016,3:00:23,30.42,34,46,165.86,5.62,1.24,1
248,9/30/2016,2:55:24,30.42,34,46,155.66,6.75,1.18,1
249,9/30/2016,2:50:22,30.42,36,46,167.42,6.75,1.19,1
250,9/30/2016,2:45:20,30.42,38,46,162.37,6.75,1.18,1
251,9/30/2016,2:40:22,30.42,36,46,161.63,4.5,1.2,1
252,9/30/2016,2:35:25,30.42,37,46,173.6,6.75,1.21,1
253,9/30/2016,2:30:34,30.42,38,46,166.46,5.62,1.21,1
254,9/30/2016,2:25:21,30.43,36,46,167.69,5.62,1.23,1
255,9/30/2016,2:20:19,30.43,34,47,159,6.75,1.23,1
256,9/30/2016,2:15:21,30.43,35,47,178.01,5.62,1.21,1
257,9/30/2016,2:10:26,30.43,34,47,155.31,5.62,1.21,1
,9/30/2016,2:05:26,30.43,34,47,169.38,6.745,1.21,1
258,9/30/2016,2:00:23,30.43,35,47,183.45,7.87,1.21,1
259,9/30/2016,1:55:25,30.43,35,47,186.45,9,1.23,1
260,9/30/2016,1:50:25,30.43,36,47,193.23,9,1.21,1
261,9/30/2016,1:45:25,30.43,36,47,182.88,9,1.19,1
262,9/30/2016,1:40:21,30.43,37,47,182.56,11.25,1.23,1
263,9/30/2016,1:35:31,30.43,37,47,184.63,10.12,1.22,1
264,9/30/2016,1:30:22,30.43,37,47,182.22,10.12,1.22,1
265,9/30/2016,1:25:22,30.43,37,47,185.62,6.75,1.21,1
266,9/30/2016,1:20:21,30.43,36,47,187.64,10.12,1.21,1
267,9/30/2016,1:15:21,30.43,36,47,187.26,11.25,1.24,1
268,9/30/2016,1:10:22,30.44,37,46,179.72,9,1.2,1
269,9/30/2016,1:05:21,30.44,38,46,182.41,5.62,1.2,1
270,9/30/2016,1:00:22,30.44,40,46,184.47,7.87,1.22,1
271,9/30/2016,0:55:20,30.44,42,47,193.76,7.87,1.19,1
272,9/30/2016,0:50:22,30.44,39,47,180.46,4.5,1.22,1
273,9/30/2016,0:45:22,30.44,42,47,177.78,5.62,1.22,1
274,9/30/2016,0:40:25,30.44,44,47,156.18,6.75,1.2,1
275,9/30/2016,0:35:23,30.45,46,47,147.31,4.5,1.21,1
276,9/30/2016,0:30:23,30.45,50,47,161.37,5.62,1.23,1
277,9/30/2016,0:25:19,30.45,53,48,178.59,6.75,1.22,1
,9/30/2016,0:20:19,30.45,58.5,48,170.45,5.625,1.2,1
,9/30/2016,0:15:19,30.45,58.75,48,173.92,5.6225,1.205,1
,,0:10:19,30.45,61.375,48,168.115,5.06125,1.2025,1
278,9/30/2016,0:05:22,30.45,64,48,162.31,4.5,1.2,1
279,9/30/2016,0:00:22,30.46,62,48,154.54,3.37,1.24,1
280,9/29/2016,23:55:26,30.46,59,48,177.39,5.62,1.21,1
281,9/29/2016,23:50:23,30.46,58,48,176.78,3.37,1.21,1
282,9/29/2016,23:45:26,30.46,57,48,158.75,3.37,1.23,1
283,9/29/2016,23:40:21,30.46,60,48,137.71,3.37,1.21,1
284,9/29/2016,23:35:24,30.46,62,48,104.95,5.62,1.17,1
285,9/29/2016,23:30:24,30.46,64,48,120.2,5.62,1.21,1
286,9/29/2016,23:25:19,30.46,72,49,112.45,6.75,1.2,1
287,9/29/2016,23:20:22,30.46,71,49,122.97,5.62,1.24,1
288,9/29/2016,23:15:22,30.46,80,49,101.18,4.5,1.23,1
289,9/29/2016,23:10:22,30.46,85,49,141.87,4.5,1.21,1
290,9/29/2016,23:05:23,30.47,93,49,120.55,2.25,1.23,1
291,9/29/2016,23:00:25,30.47,98,49,144.19,3.37,1.21,1
292,9/29/2016,22:55:20,30.47,99,49,139.8,6.75,1.22,1
293,9/29/2016,22:50:19,30.47,99,50,140.92,2.25,1.21,1
294,9/29/2016,22:45:31,30.47,99,50,147.61,5.62,1.23,1
295,9/29/2016,22:40:23,30.47,99,50,113.78,4.5,1.22,1
296,9/29/2016,22:35:19,30.47,99,50,123.03,10.12,1.21,1
297,9/29/2016,22:30:22,30.47,99,50,173.73,6.75,1.22,1
298,9/29/2016,22:25:19,30.47,98,50,91.43,6.75,1.22,1
299,9/29/2016,22:20:22,30.47,98,50,109.74,6.75,1.2,1
300,9/29/2016,22:15:22,30.47,98,50,143.53,2.25,1.2,1
301,9/29/2016,22:10:21,30.47,97,50,146.76,5.62,1.2,1
302,9/29/2016,22:05:20,30.47,97,50,158.35,4.5,1.21,1
303,9/29/2016,22:00:26,30.47,97,50,166.05,5.62,1.22,1
304,9/29/2016,21:55:20,30.47,96,50,151.82,5.62,1.22,1
305,9/29/2016,21:50:32,30.47,96,50,152.52,6.75,1.22,1
306,9/29/2016,21:45:28,30.47,95,50,127.82,7.87,1.24,1
307,9/29/2016,21:40:20,30.47,95,50,157.58,6.75,1.23,1
308,9/29/2016,21:35:21,30.47,95,50,172.96,7.87,1.23,1
309,9/29/2016,21:30:21,30.47,95,50,143.82,6.75,1.23,1
310,9/29/2016,21:25:22,30.47,94,50,154.03,5.62,1.24,1
311,9/29/2016,21:20:21,30.47,93,50,165.93,4.5,1.2,1
312,9/29/2016,21:15:23,30.47,93,50,139.82,7.87,1.24,1
313,9/29/2016,21:10:20,30.47,93,49,166.07,9,1.21,1
314,9/29/2016,21:05:26,30.47,93,50,116.16,5.62,1.24,1
315,9/29/2016,21:00:20,30.47,92,50,157.48,4.5,1.2,1
316,9/29/2016,20:55:18,30.47,91,50,112.27,7.87,1.19,1
317,9/29/2016,20:50:20,30.47,90,50,133.69,6.75,1.25,1
318,9/29/2016,20:45:24,30.47,88,50,140.64,6.75,1.25,1
319,9/29/2016,20:40:19,30.47,87,50,52.89,1.12,1.23,1
320,9/29/2016,20:35:19,30.47,86,50,132.66,4.5,1.21,1
321,9/29/2016,20:30:18,30.46,85,50,138.35,5.62,1.25,1
322,9/29/2016,20:25:20,30.46,84,50,109.87,3.37,1.23,1
323,9/29/2016,20:20:23,30.47,81,50,123.25,3.37,1.23,1
324,9/29/2016,20:15:20,30.46,75,50,158.64,4.5,1.26,1
325,9/29/2016,20:10:22,30.46,70,50,165.22,5.62,1.17,1
326,9/29/2016,20:05:22,30.46,63,50,160.51,3.37,1.22,1
327,9/29/2016,20:00:18,30.46,51,50,155.36,4.5,1.22,1
328,9/29/2016,19:55:23,30.46,47,50,157.78,6.75,1.22,1
329,9/29/2016,19:50:22,30.46,46,50,151.6,3.37,1.24,1
330,9/29/2016,19:45:25,30.46,47,50,105.78,4.5,1.25,1
331,9/29/2016,19:40:22,30.46,48,50,135.55,4.5,1.19,1
332,9/29/2016,19:35:22,30.46,56,50,140.92,4.5,1.19,1
333,9/29/2016,19:30:20,30.46,57,50,165,4.5,1.23,1
334,9/29/2016,19:25:21,30.46,55,51,126.63,3.37,1.19,1
335,9/29/2016,19:20:20,30.46,54,51,119.97,4.5,1.23,1
336,9/29/2016,19:15:22,30.45,53,51,95.57,2.25,1.22,1
337,9/29/2016,19:10:24,30.45,51,51,100.02,4.5,1.24,1
338,9/29/2016,19:05:20,30.45,51,51,111.73,2.25,1.24,1
339,9/29/2016,19:00:24,30.45,52,51,145.77,5.62,1.23,1
340,9/29/2016,18:55:19,30.45,51,51,105.89,6.75,1.23,1
341,9/29/2016,18:50:24,30.45,52,51,120.86,5.62,1.24,1
342,9/29/2016,18:45:19,30.44,55,51,170.11,5.62,1.23,1
343,9/29/2016,18:40:21,30.44,55,52,107.15,5.62,1.21,1
344,9/29/2016,18:35:21,30.44,55,52,129.29,6.75,1.24,1
345,9/29/2016,18:30:23,30.45,59,52,158.73,3.37,1.18,1
346,9/29/2016,18:25:19,30.44,59,52,211.38,2.25,1.52,1
347,9/29/2016,18:20:23,30.44,61,53,174.97,4.5,5.07,1
348,9/29/2016,18:15:21,30.44,62,53,120.78,7.87,6.16,1
349,9/29/2016,18:10:52,30.44,59,53,118.82,5.62,6.63,1
350,9/29/2016,18:05:22,30.44,59,54,154.16,4.5,10.96,1
351,9/29/2016,18:00:22,30.44,57,55,58.42,6.75,19.42,1
352,9/29/2016,17:55:22,30.44,53,55,47.86,4.5,27.14,1
353,9/29/2016,17:50:19,30.44,52,56,74.56,2.25,33.75,1
354,9/29/2016,17:45:22,30.44,49,56,25.72,6.75,49.57,1
355,9/29/2016,17:40:22,30.44,50,56,102.11,2.25,59.62,1
356,9/29/2016,17:35:38,30.44,48,56,67.49,3.37,87.23,1
357,9/29/2016,17:30:25,30.43,49,56,180.29,2.25,109.93,1
358,9/29/2016,17:25:25,30.43,57,57,150.2,2.25,130.82,1
359,9/29/2016,17:20:25,30.43,55,57,47.3,5.62,160.52,1
360,9/29/2016,17:15:20,30.43,52,58,333.81,1.12,191.37,2
361,9/29/2016,17:10:20,30.43,49,58,41.62,4.5,207.05,2
362,9/29/2016,17:05:22,30.43,45,58,132.36,5.62,240.99,2
363,9/29/2016,17:00:24,30.43,41,58,332.09,4.5,274.83,2
364,9/29/2016,16:55:25,30.43,55,58,45.88,3.37,300.94,2
365,9/29/2016,16:50:22,30.43,56,58,94.24,7.87,322.71,3
366,9/29/2016,16:45:38,30.43,50,58,81.57,6.75,346.59,3
367,9/29/2016,16:40:20,30.43,49,58,351.03,7.87,364.18,3
